"FSC.H","SSC.H","FL1.H","FL2.H","FL3.H","FL4.H"
73,414,0,0,0,181.634689331055
84,108,0,0,99.4436416625977,45.9306106567383
171,31,0,0,0,80.3785705566406
147,18,0,5.24077892303467,93.096176147461,114.826530456543
252,90,5.41269826889038,156.175201416016,157.628753662109,83.5102005004883
206,80,7.57777786254883,63.9375,40.2006187438965,163.888778686523
131,55,3.24761915206909,105.863731384277,0,187.897964477539
60,58,0,45.0706977844238,0,186.854080200195
160,39,0,7.33709001541138,106.849014282227,245.311218261719
112,41,0,85.9487686157227,136.470520019531,189.985717773438
315,127,0,80.707992553711,96.269905090332,90.8173446655273
116,201,0,179.234634399414,145.991729736328,152.406127929688
174,30,0,161.415985107422,119.543952941895,175.371429443359
123,171,11.9079360961914,119.489753723145,0,56.3693885803223
179,322,0,0,159.744567871094,24.009183883667
580,118,596.479370117188,95.3821716308594,638.978271484375,0
180,82,3.24761915206909,0,192.539810180664,0
370,156,568.333312988281,25.1557369232178,662.252319335938,159.713272094727
103,50,0,0,58.1851081848145,127.353057861328
105,115,29.2285709381104,23.0594253540039,107.906929016113,171.195922851562
70,45,0,40.8780746459961,98.385726928711,126.309181213379
615,164,636.533325195312,116.345283508301,517.318481445312,0
121,64,0,51.3596305847168,101.559463500977,198.336730957031
127,50,2.16507935523987,35.6372947692871,139.644256591797,159.713272094727
514,149,90.933334350586,661.386291503906,599.835571289062,697.310180664062
91,163,0,139.404708862305,33.8531532287598,267.232666015625
113,69,15.1555557250977,19.9149589538574,1.05791103839874,250.530609130859
211,121,497.96826171875,170.849380493164,635.804565429688,167.020401000977
162,62,0,86.9969253540039,152.339187622070,131.528564453125
215,54,50.8793640136719,0,16.9265766143799,0
85,88,0,32.4928283691406,0,242.179595947266
115,63,0,79.6598358154297,183.018615722656,159.713272094727
66,22,0,70.226432800293,24.3319549560547,0
89,98,0,0,143.875900268555,0
268,93,527.196838378906,128.923156738281,551.171691894531,193.117340087891
158,28,0,162.464141845703,82.5170593261719,127.353057861328
162,140,0,0,114.25439453125,263.05712890625
88,221,0,112.152664184570,15.8686656951904,152.406127929688
99,44,0,172.945693969727,47.6059989929199,180.5908203125
130,33,0,0,0,193.117340087891
102,37,90.933334350586,0,74.0537719726562,0
227,71,33.5587310791016,0,62.4167518615723,289.154083251953
86,151,70.3650817871094,86.9969253540039,154.455017089844,0
238,583,0,94.3340148925781,130.123062133789,200.424484252930
62,260,0,0,0,204.600006103516
341,127,0,168.753067016602,92.0382614135742,59.5010185241699
153,132,93.0984115600586,0,0,227.565307617188
421,255,569.415893554688,131.019470214844,561.750793457031,187.897964477539
265,70,0,0,0,277.671417236328
566,143,628.95556640625,93.2858581542969,640.036193847656,260.969390869141
134,37,0,0,76.1695938110352,249.486740112305
65,21,0,0,0,215.038772583008
75,31,63.8698425292969,39.8299179077148,148.107543945312,87.6857147216797
138,33,0,0,84.6328887939453,241.135711669922
233,119,397.292053222656,0,559.634948730469,120.045921325684
243,73,34.6412696838379,0,4.23164415359497,135.704086303711
236,260,605.139709472656,26.203893661499,636.862487792969,146.142852783203
171,55,0,0,40.2006187438965,241.135711669922
97,13,0,76.515365600586,110.022750854492,140.923461914062
180,70,0,0,130.123062133789,73.0714263916016
