"FSC.H","SSC.H","FL1.H","FL2.H","FL3.H","FL4.H"
431,126,42.1312751770020,37.5056877136230,165.426910400391,0
68,108,17.1158294677734,11.6396961212158,97.932731628418,5.28955554962158
203,111,604.320434570312,31.0391902923584,706.703735351562,113.196487426758
108,199,92.1621627807617,155.195953369141,201.159118652344,48.6639099121094
217,745,254.104248046875,253.486724853516,299.091857910156,132.238876342773
203,169,246.204635620117,240.553726196289,211.746444702148,126.949325561523
158,62,0,72.4247817993164,166.750320434570,137.528442382812
332,269,260.687255859375,303.925415039062,296.445007324219,115.312309265137
214,72,105.328186035156,21.9860935211182,222.333770751953,2.11582207679749
110,179,151.409271240234,103.463966369629,217.040100097656,132.238876342773
273,90,156.675674438477,192.701644897461,753.023315429688,341.705261230469
122,649,0,84.0644760131836,132.341522216797,98.385726928711
361,140,593.787658691406,0,829.781372070312,0
274,173,114.544403076172,142.262954711914,774.197937011719,284.578063964844
68,56,129.027023315430,65.9582824707031,0,159.744567871094
84,53,0,0,144.252258300781,0
185,81,140.876449584961,81.4778747558594,201.159118652344,0
202,107,68.4633178710938,2.58659934997559,191.895217895508,60.3009300231934
101,55,0,0,6.61707639694214,77.2275085449219
485,183,334.4169921875,267.713012695312,56.9068565368652,181.960708618164
469,235,296.235534667969,297.458923339844,307.032348632812,218.987594604492
64,16,60.5637054443359,43.9721870422363,46.3195343017578,48.6639099121094
216,771,221.189193725586,209.514541625977,324.236724853516,206.292663574219
73,390,126.393821716309,183.648544311523,248.802062988281,155.512924194336
186,159,276.486480712891,245.726928710938,218.363525390625,233.79833984375
313,133,1.31660234928131,109.930465698242,168.073745727539,145.991729736328
78,65,0,21.9860935211182,46.3195343017578,3.17373323440552
219,152,25.0154438018799,125.450065612793,258.065979003906,0
96,107,0,24.5726928710938,0,187.250259399414
331,189,156.675674438477,217.274337768555,170.720565795898,87.8066177368164
106,144,0,0,111.166885375977,0
115,232,104.011581420898,89.2376708984375,243.508407592773,87.8066177368164
133,187,259.370666503906,247.020233154297,285.857696533203,165.034118652344
82,71,0,160.369155883789,0,100.501548767090
114,134,53.9806938171387,0,134.988357543945,85.6907958984375
362,190,248.837844848633,265.126434326172,295.121612548828,289.867645263672
60,59,22.3822402954102,5.17319869995117,107.196640014648,189.366073608398
132,121,23.6988410949707,24.5726928710938,75.4346694946289,122.717681884766
431,204,273.853271484375,244.433624267578,260.712799072266,228.5087890625
99,232,0,6.4664978981018,51.6131935119629,159.744567871094
